Most used words by Pink: 
497. thank - 9 uses.
498. fault - 9 uses.
499. clear - 9 uses.
500. rah - 9 uses.
501. blah - 9 uses.
502. hotel - 9 uses.
503. bring - 9 uses.
504. madness - 9 uses.
505. 3 - 9 uses.
506. build - 9 uses.
507. deep - 9 uses.
508. control - 9 uses.
509. middle - 9 uses.
510. child - 9 uses.
511. honestly - 9 uses.
512. deliri - 9 uses.
513. bent - 9 uses.
514. kick - 9 uses.
515. everywhere - 9 uses.
516. hardest - 9 uses.
517. 18 - 9 uses.
518. cover - 9 uses.
519. barbies - 8 uses.
520. knees - 8 uses.
521. yo - 8 uses.
522. serious - 8 uses.
523. dirty - 8 uses.
524. worry - 8 uses.
525. frame - 8 uses.
526. pause - 8 uses.
527. cut - 8 uses.
528. become - 8 uses.
529. ooohhh - 8 uses.
530. stopped - 8 uses.
531. sleeping - 8 uses.
532. lyin - 8 uses.
533. asking - 8 uses.
534. supposed - 8 uses.
535. bridge - 8 uses.
536. wanted - 8 uses.
537. human - 8 uses.
538. seem - 8 uses.
539. low - 8 uses.
540. afraid - 8 uses.
541. past - 8 uses.
542. feels - 8 uses.
543. fix - 8 uses.
544. matter - 8 uses.
545. feet - 8 uses.
546. barely - 8 uses.
547. along - 8 uses.
548. fuckin - 8 uses.
549. soul - 8 uses.
550. shoot - 8 uses.
551. sitting - 8 uses.
552. tryna - 8 uses.
553. weak - 8 uses.
554. bottom - 8 uses.
555. devil - 8 uses.
556. mad - 8 uses.
557. fears - 8 uses.
558. under - 8 uses.
559. safe - 8 uses.
560. heres - 8 uses.
561. crystal - 8 uses.
562. calling - 8 uses.
563. excuse - 8 uses.
564. hmm - 8 uses.
565. wild - 8 uses.
566. 2 - 8 uses.
567. 4 - 8 uses.
568. ladies - 8 uses.
569. plan - 8 uses.
570. wit - 8 uses.
571. huh - 8 uses.
572. portrait - 8 uses.
573. wheeler - 8 uses.
574. screwing - 8 uses.
575. sin - 7 uses.
576. rolling - 7 uses.
577. wait - 7 uses.
578. 5 - 7 uses.
579. lies - 7 uses.
580. thoughts - 7 uses.
581. mess - 7 uses.
582. prove - 7 uses.
583. underneath - 7 uses.
584. closet - 7 uses.
585. enemy - 7 uses.
586. guy - 7 uses.
587. young - 7 uses.
588. lips - 7 uses.
589. ago - 7 uses.
590. sound - 7 uses.
591. wondering - 7 uses.
592. found - 7 uses.
593. worst - 7 uses.
594. luck - 7 uses.
595. momma - 7 uses.
596. closer - 7 uses.
597. pnk - 7 uses.
598. beginning - 7 uses.
599. tomorrow - 7 uses.
600. moves - 7 uses.
601. fair - 7 uses.
602. voice - 7 uses.
603. send - 7 uses.
604. taste - 7 uses.
605. quick - 7 uses.
606. hang - 7 uses.
607. loving - 7 uses.
608. gives - 7 uses.
609. scream - 7 uses.
610. understood - 7 uses.
611. thousand - 7 uses.
612. rules - 7 uses.
613. proud - 7 uses.
614. wine - 7 uses.
615. asked - 7 uses.
616. conversations - 7 uses.
617. turns - 7 uses.
618. stone - 7 uses.
619. bleed - 7 uses.
620. short - 7 uses.
621. stick - 7 uses.
622. broke - 7 uses.
623. smile - 7 uses.
624. eye - 7 uses.
625. lay - 7 uses.
626. 1 - 7 uses.
627. ruff - 7 uses.
628. wed - 7 uses.
629. delirium - 7 uses.
630. chorus - 7 uses.
631. games - 7 uses.
632. sober - 7 uses.
633. slowly - 7 uses.
634. track - 7 uses.
635. missundaztood - 7 uses.
636. heartbreaker - 7 uses.
637. 6 - 7 uses.
638. dodo - 7 uses.
639. sharing - 7 uses.
640. california - 7 uses.
641. flying - 7 uses.
642. thirteen - 7 uses.
643. year - 7 uses.
644. deal - 6 uses.
645. flame - 6 uses.
646. funny - 6 uses.
647. holy - 6 uses.
648. stops - 6 uses.
649. dirt - 6 uses.
650. untamed - 6 uses.
651. saying - 6 uses.
652. president - 6 uses.
653. flipping - 6 uses.
654. blond - 6 uses.
655. bra - 6 uses.
656. glad - 6 uses.
657. spit - 6 uses.
658. pictures - 6 uses.
659. sunlight - 6 uses.
660. afterglow - 6 uses.
661. grows - 6 uses.
662. cold - 6 uses.
663. mama - 6 uses.
664. losing - 6 uses.
665. blue - 6 uses.
666. cigarette - 6 uses.
667. escape - 6 uses.
668. messed - 6 uses.
669. annoy - 6 uses.
670. irritating - 6 uses.
671. doctor - 6 uses.
672. means - 6 uses.
673. falls - 6 uses.
674. darkest - 6 uses.
675. understands - 6 uses.
676. telling - 6 uses.
677. loves - 6 uses.
678. wear - 6 uses.
679. saw - 6 uses.
680. places - 6 uses.
681. pushing - 6 uses.
682. plans - 6 uses.
683. awake - 6 uses.
684. maam - 6 uses.
685. havent - 6 uses.
686. faster - 6 uses.
687. answers - 6 uses.
688. queen - 6 uses.
689. corner - 6 uses.
690. fallin - 6 uses.
691. ball - 6 uses.
692. passion - 6 uses.
693. whoa-oa-oa - 6 uses.
694. whoa-oa-oa-oa - 6 uses.
695. waste - 6 uses.
696. cried - 6 uses.
697. beats - 6 uses.
698. bomb - 6 uses.
699. nasty - 6 uses.
700. influence - 6 uses.
701. nightmare - 6 uses.
702. keeps - 6 uses.
703. white - 6 uses.
704. angel - 6 uses.
705. fantasy - 6 uses.
706. imagine - 6 uses.
707. rhythm - 6 uses.
708. lying - 6 uses.
709. crying - 6 uses.
710. eventually - 6 uses.
711. underground - 6 uses.
712. cash - 6 uses.
713. chaos - 6 uses.
714. volume - 6 uses.
715. superstar - 6 uses.
716. oh-oh-oh - 6 uses.
717. complicated - 6 uses.
718. bombs - 6 uses.
719. treat - 6 uses.
720. trick - 6 uses.
721. shower - 6 uses.
722. clowns - 6 uses.
723. 8 - 6 uses.
724. 7 - 6 uses.
725. shed - 6 uses.
726. ha - 6 uses.
727. lock - 5 uses.
728. spot - 5 uses.
729. choose - 5 uses.
730. desire - 5 uses.
731. somehow - 5 uses.
732. shouldnt - 5 uses.
733. seed - 5 uses.
734. seven - 5 uses.
735. blame - 5 uses.
736. riding - 5 uses.
737. porno - 5 uses.
738. paparazzi - 5 uses.
739. drop - 5 uses.
740. happened - 5 uses.
741. dancing - 5 uses.
742. smart - 5 uses.
743. cannot - 5 uses.
744. suck - 5 uses.
745. finally - 5 uses.
746. giving - 5 uses.
747. normal - 5 uses.
748. hated - 5 uses.
749. freedom - 5 uses.
750. wife - 5 uses.
751. drinking - 5 uses.
752. workin - 5 uses.
753. perfectly - 5 uses.
754. person - 5 uses.
755. uncool - 5 uses.
756. story - 5 uses.
757. rent - 5 uses.
758. green - 5 uses.
759. easier - 5 uses.
760. having - 5 uses.
761. brand - 5 uses.
762. check - 5 uses.
763. breaks - 5 uses.
764. sayin - 5 uses.
765. learned - 5 uses.
766. ticket - 5 uses.
767. keys - 5 uses.
768. skin - 5 uses.
769. boo-hoo - 5 uses.
770. boys - 5 uses.
771. buttons - 5 uses.
772. clap - 5 uses.
773. beer - 5 uses.
774. near - 5 uses.
775. question - 5 uses.
776. anywhere - 5 uses.
777. laughed - 5 uses.
778. ran - 5 uses.
779. carry - 5 uses.
780. gettin - 5 uses.
781. storms - 5 uses.
782. message - 5 uses.
783. asleep - 5 uses.
784. ‘cause - 5 uses.
785. ohhh - 5 uses.
786. breaking - 5 uses.
787. problems - 5 uses.
788. sugar - 5 uses.
789. genetic - 5 uses.
790. electrifying - 5 uses.
791. bliss - 5 uses.
792. willing - 5 uses.
793. taking - 5 uses.
794. rope - 5 uses.
795. burning - 5 uses.
796. phone - 5 uses.
797. began - 5 uses.
798. fixed - 5 uses.
799. flip - 5 uses.
800. dreaming - 5 uses.
801. laugh - 5 uses.
802. mommy - 5 uses.
803. record - 5 uses.
804. surrounded - 5 uses.
805. mr - 5 uses.
806. r-e-s-p-e-c-t - 5 uses.
807. togeta - 5 uses.
808. sistas - 5 uses.
809. greedy - 5 uses.
810. talkin - 5 uses.
811. lifes - 5 uses.
812. smooth - 5 uses.
813. great - 5 uses.
814. gold - 5 uses.
815. ah-ah-ah - 5 uses.
816. swallow - 5 uses.
817. seat - 5 uses.
818. disaster - 5 uses.
819. missing - 5 uses.
820. needed - 5 uses.
821. galileo - 5 uses.
822. dropping - 5 uses.
823. score - 5 uses.
824. rather - 5 uses.
825. stabbed - 5 uses.
826. men - 5 uses.
827. worlds - 5 uses.
828. outside - 5 uses.
829. ceiling - 5 uses.
830. funhouse - 5 uses.
831. evil - 5 uses.
832. countdown - 5 uses.
833. held - 5 uses.
834. ie - 5 uses.
835. wholl - 5 uses.
836. spent - 4 uses.
837. leaves - 4 uses.
838. searching - 4 uses.
839. single - 4 uses.
840. happens - 4 uses.
841. next - 4 uses.
842. wall - 4 uses.
843. smoke - 4 uses.
844. n - 4 uses.
845. underdogs - 4 uses.
846. nitty - 4 uses.
847. gritty - 4 uses.
848. freaks - 4 uses.
849. freak - 4 uses.
850. locked - 4 uses.
851. empty - 4 uses.
852. bound - 4 uses.
853. burned - 4 uses.
854. teeth - 4 uses.
855. familiar - 4 uses.
856. chest - 4 uses.
857. four - 4 uses.
858. pray - 4 uses.
859. quiet - 4 uses.
860. promised - 4 uses.
861. shell - 4 uses.
862. tiny - 4 uses.
863. sounds - 4 uses.
864. job - 4 uses.
865. growing - 4 uses.
866. pains - 4 uses.
867. small - 4 uses.
868. book - 4 uses.
869. paid - 4 uses.
870. fit - 4 uses.
871. oh-oh - 4 uses.
872. arrive - 4 uses.
873. taken - 4 uses.
874. red - 4 uses.
875. darkness - 4 uses.
876. sight - 4 uses.
877. voices - 4 uses.
878. steps - 4 uses.
879. against - 4 uses.
880. closing - 4 uses.
881. front - 4 uses.
882. champions - 4 uses.
883. support - 4 uses.
884. mirror - 4 uses.
885. pop - 4 uses.
886. pours - 4 uses.
887. reach - 4 uses.
888. table - 4 uses.
889. diamond - 4 uses.
890. rings - 4 uses.
891. shoulder - 4 uses.
892. wonderin - 4 uses.
893. hadnt - 4 uses.
894. tool - 4 uses.
895. lighter - 4 uses.
896. fighter - 4 uses.
897. caught - 4 uses.
898. shiver - 4 uses.
899. poison - 4 uses.
900. whore - 4 uses.
901. sellin - 4 uses.
902. worries - 4 uses.
903. club - 4 uses.
904. paper - 4 uses.
905. you-hoo - 4 uses.
906. woo-hoo - 4 uses.
907. wham - 4 uses.
908. bam - 4 uses.
909. jack - 4 uses.
910. dress - 4 uses.
911. yet - 4 uses.
912. nothings - 4 uses.
913. happening - 4 uses.
914. doin - 4 uses.
915. whiskey - 4 uses.
916. ice - 4 uses.
917. blood - 4 uses.
918. nice - 4 uses.
919. band - 4 uses.
920. slips - 4 uses.
921. closed - 4 uses.
922. met - 4 uses.
923. tongue - 4 uses.
924. somewhere - 4 uses.
925. candy - 4 uses.
926. drag - 4 uses.
927. sword - 4 uses.
928. rage - 4 uses.
929. straight - 4 uses.
930. mother - 4 uses.
931. across - 4 uses.
932. ‘til - 4 uses.
933. decides - 4 uses.
934. figure - 4 uses.
935. switch - 4 uses.
936. screw - 4 uses.
937. boomerang - 4 uses.
938. lighten - 4 uses.
939. turning - 4 uses.
940. tearing - 4 uses.
941. needs - 4 uses.
942. city - 4 uses.
943. kill - 4 uses.
944. gun - 4 uses.
945. isnt - 4 uses.
946. ring - 4 uses.
947. patience - 4 uses.
948. trade - 4 uses.
949. tough - 4 uses.
950. breathing - 4 uses.
951. hole - 4 uses.
952. tie - 4 uses.
953. stones - 4 uses.
954. noise - 4 uses.
955. bored - 4 uses.
956. clock - 4 uses.
957. entertainment - 4 uses.
958. thinks - 4 uses.
959. talking - 4 uses.
960. heartbreak - 4 uses.
961. charm - 4 uses.
962. static - 4 uses.
963. surprise - 4 uses.
964. disconnected - 4 uses.
965. longer - 4 uses.
966. brother - 4 uses.
967. sex - 4 uses.
968. spin - 4 uses.
969. knowing - 4 uses.
970. frustrated - 4 uses.
971. faces - 4 uses.
972. ourselves - 4 uses.
973. floating - 4 uses.
974. between - 4 uses.
975. cheques - 4 uses.
976. bets - 4 uses.
977. ***ked - 4 uses.
978. silent - 4 uses.
979. bullet - 4 uses.
980. thrown - 4 uses.
981. known - 4 uses.
982. keeping - 4 uses.
983. dominate - 4 uses.
984. realize - 4 uses.
985. write - 4 uses.
986. waitin - 4 uses.
987. bits - 4 uses.
988. comfort - 4 uses.
989. poor - 4 uses.
990. matters - 4 uses.
991. liked - 4 uses.
992. storm - 4 uses.
993. number - 4 uses.
994. ended - 4 uses.
995. illusion - 4 uses.
996. whys - 4 uses.
997. mhm - 4 uses.
998. partys - 4 uses.
999. no-no-no - 4 uses.
1000. bone - 4 uses.
1001. listenin - 4 uses.
1002. hearin - 4 uses.
1003. 9 - 4 uses.
1004. doors - 4 uses.
1005. circles - 4 uses.
1006. ignorance - 4 uses.
1007. press - 4 uses.
1008. fiend - 4 uses.
1009. torn - 4 uses.
1010. private - 4 uses.
1011. tables - 4 uses.
1012. bores - 4 uses.
1013. flight - 4 uses.
1014. damned - 4 uses.
1015. truck - 4 uses.
1016. slave - 4 uses.
1017. self - 4 uses.
1018. colorful - 4 uses.
1019. charade - 4 uses.
1020. f***** - 4 uses.
1021. bla - 4 uses.
1022. sinking - 4 uses.
1023. halfway - 4 uses.
1024. redman - 4 uses.
1025. swore - 3 uses.
1026. although - 3 uses.
1027. minds - 3 uses.
1028. school - 3 uses.
1029. treated - 3 uses.
1030. someones - 3 uses.
1031. burns - 3 uses.
1032. couple - 3 uses.
1033. showed - 3 uses.
1034. vicious - 3 uses.
1035. lied - 3 uses.
1036. goddamn - 3 uses.
1037. solve - 3 uses.
1038. kids - 3 uses.
1039. future - 3 uses.
1040. power - 3 uses.
1041. envy - 3 uses.
1042. monsters - 3 uses.
1043. hello - 3 uses.
1044. grave - 3 uses.
1045. sell - 3 uses.
1046. plain - 3 uses.
1047. video - 3 uses.
1048. 50 - 3 uses.
1049. clue - 3 uses.
1050. later - 3 uses.
1051. moment - 3 uses.
1052. belong - 3 uses.
1053. yeahhhh - 3 uses.
1054. favorite - 3 uses.
1055. bag - 3 uses.
1056. climb - 3 uses.
1057. mistake - 3 uses.
1058. chase - 3 uses.
1059. bum - 3 uses.
1060. lines - 3 uses.
1061. paranoia - 3 uses.
1062. baskin - 3 uses.
1063. mans - 3 uses.
1064. beyond - 3 uses.
1065. naked - 3 uses.
1066. tied - 3 uses.
1067. staring - 3 uses.
1068. heads - 3 uses.
1069. screaming - 3 uses.
1070. crime - 3 uses.
1071. fighting - 3 uses.
1072. losers - 3 uses.
1073. oooh - 3 uses.
1074. upon - 3 uses.
1075. team - 3 uses.
1076. clean - 3 uses.
1077. hazard - 3 uses.
1078. heels - 3 uses.
1079. parts - 3 uses.
1080. uphill - 3 uses.
1081. bury - 3 uses.
1082. works - 3 uses.
1083. pouring - 3 uses.
1084. stuck - 3 uses.
1085. flowers - 3 uses.
1086. happen - 3 uses.
1087. memory - 3 uses.
1088. trusted - 3 uses.
1089. protect - 3 uses.
1090. basically - 3 uses.
1091. split - 3 uses.
1092. seek - 3 uses.
1093. soldier - 3 uses.
1094. 17 - 3 uses.
1095. seeing - 3 uses.
1096. flow - 3 uses.
1097. conversation - 3 uses.
1098. frozen - 3 uses.
1099. minutes - 3 uses.
1100. blues - 3 uses.
1101. sign - 3 uses.
1102. punch - 3 uses.
1103. drunk - 3 uses.
1104. expect - 3 uses.
1105. bother - 3 uses.
1106. hooker - 3 uses.
1107. standin - 3 uses.
1108. rap - 3 uses.
1109. honey - 3 uses.
1110. bought - 3 uses.
1111. cheap - 3 uses.
1112. knuckles - 3 uses.
1113. tree - 3 uses.
1114. bones - 3 uses.
1115. silver - 3 uses.
1116. foo-ool - 3 uses.
1117. prize - 3 uses.
1118. elevator - 3 uses.
1119. walks - 3 uses.
1120. cute - 3 uses.
1121. constantly - 3 uses.
1122. everythings - 3 uses.
1123. route - 3 uses.
1124. threw - 3 uses.
1125. sis - 3 uses.
1126. boom - 3 uses.
1127. bah - 3 uses.
1128. honor - 3 uses.
1129. cheers - 3 uses.
1130. unlike - 3 uses.
1131. anatomy - 3 uses.
1132. sneaks - 3 uses.
1133. victim - 3 uses.
