Most used words by  T-Pain: 
189. ready - 47 uses.
190. coming - 47 uses.
191. friends - 46 uses.
192. air - 46 uses.
193. kiss - 46 uses.
194. nobody - 46 uses.
195. bring - 46 uses.
196. nothin - 46 uses.
197. goin - 46 uses.
198. game - 45 uses.
199. side - 45 uses.
200. toot - 45 uses.
201. cardi - 45 uses.
202. lights - 44 uses.
203. name - 44 uses.
204. music - 44 uses.
205. blowing - 44 uses.
206. little - 43 uses.
207. talkin - 43 uses.
208. lit - 43 uses.
209. car - 43 uses.
210. playin - 43 uses.
211. another - 43 uses.
212. rush - 43 uses.
213. hallelujah - 43 uses.
214. twerk - 43 uses.
215. enough - 42 uses.
216. because - 42 uses.
217. youll - 42 uses.
218. left - 42 uses.
219. eyes - 42 uses.
220. seen - 42 uses.
221. throw - 42 uses.
222. watch - 42 uses.
223. nappy - 42 uses.
224. 3 - 41 uses.
225. line - 41 uses.
226. talking - 41 uses.
227. dead - 41 uses.
228. chance - 41 uses.
229. luv - 41 uses.
230. please - 40 uses.
231. thought - 40 uses.
232. somebody - 40 uses.
233. hot - 40 uses.
234. friend - 40 uses.
235. alone - 40 uses.
236. low - 40 uses.
237. gang - 40 uses.
238. boop - 40 uses.
239. wake - 40 uses.
240. ask - 39 uses.
241. trying - 39 uses.
242. place - 39 uses.
243. running - 39 uses.
244. thang - 39 uses.
245. used - 39 uses.
246. stick - 39 uses.
247. crazy - 39 uses.
248. fangas - 39 uses.
249. id - 38 uses.
250. cool - 38 uses.
251. die - 38 uses.
252. hell - 38 uses.
253. bet - 38 uses.
254. heavy - 38 uses.
255. phone - 37 uses.
256. times - 37 uses.
257. bottom - 37 uses.
258. couple - 36 uses.
259. ahead - 36 uses.
260. shots - 36 uses.
261. bag - 36 uses.
262. open - 36 uses.
263. boo - 36 uses.
264. rap - 36 uses.
265. n - 36 uses.
266. old - 35 uses.
267. feeling - 35 uses.
268. sound - 35 uses.
269. end - 35 uses.
270. lay - 35 uses.
271. well - 35 uses.
272. heart - 35 uses.
273. live - 35 uses.
274. sit - 34 uses.
275. lookin - 34 uses.
276. understand - 34 uses.
277. 1 - 34 uses.
278. heard - 34 uses.
279. sex - 34 uses.
280. hand - 34 uses.
281. paper - 34 uses.
282. crib - 33 uses.
283. started - 33 uses.
284. change - 33 uses.
285. touch - 33 uses.
286. buy - 33 uses.
287. clothes - 33 uses.
288. things - 33 uses.
289. streets - 33 uses.
290. chevys - 33 uses.
291. goat - 33 uses.
292. hop - 32 uses.
293. okay - 32 uses.
294. comin - 32 uses.
295. care - 32 uses.
296. yes - 32 uses.
297. blow - 32 uses.
298. that’s - 32 uses.
299. check - 32 uses.
300. oh-oh - 32 uses.
301. snapping - 32 uses.
302. both - 31 uses.
303. cup - 31 uses.
304. huh - 31 uses.
305. hood - 31 uses.
306. woo - 31 uses.
307. rest - 31 uses.
308. shoes - 31 uses.
309. teddy - 31 uses.
310. 5 - 30 uses.
311. stage - 30 uses.
312. million - 30 uses.
313. went - 30 uses.
314. last - 30 uses.
315. drunk - 30 uses.
316. hurt - 30 uses.
317. spend - 30 uses.
318. girls - 30 uses.
319. alright - 30 uses.
320. woah—oh—oh - 30 uses.
321. always - 30 uses.
322. sick - 30 uses.
323. youve - 30 uses.
324. morning - 30 uses.
325. ahah - 30 uses.
326. hoe - 29 uses.
327. matter - 29 uses.
328. pretty - 29 uses.
329. free - 29 uses.
330. hundred - 29 uses.
331. black - 29 uses.
332. kill - 29 uses.
333. fucked - 29 uses.
334. feelin - 29 uses.
335. la - 29 uses.
336. parking - 29 uses.
337. swear - 28 uses.
338. goes - 28 uses.
339. ooo - 28 uses.
340. door - 28 uses.
341. comes - 28 uses.
342. rozay - 28 uses.
343. pay - 28 uses.
344. start - 28 uses.
345. until - 27 uses.
346. spot - 27 uses.
347. bust - 27 uses.
348. step - 27 uses.
349. hat - 27 uses.
350. bottles - 27 uses.
351. ground - 27 uses.
352. shake - 27 uses.
353. took - 27 uses.
354. wham - 27 uses.
355. getcha - 27 uses.
356. bood - 27 uses.
357. motha - 27 uses.
358. ha - 26 uses.
359. knew - 26 uses.
360. run - 26 uses.
361. wasnt - 26 uses.
362. saw - 26 uses.
363. thinking - 26 uses.
364. sayin - 26 uses.
365. fight - 26 uses.
366. without - 26 uses.
367. found - 26 uses.
368. g - 26 uses.
369. poppin - 26 uses.
370. since - 26 uses.
371. mouth - 25 uses.
372. thank - 25 uses.
373. front - 25 uses.
374. maybe - 25 uses.
375. three - 25 uses.
376. tellin - 25 uses.
377. dollars - 25 uses.
378. you’re - 25 uses.
379. drinking - 25 uses.
380. aye - 25 uses.
381. dat - 25 uses.
382. drank - 25 uses.
383. south - 24 uses.
384. brain - 24 uses.
385. making - 24 uses.
386. 21 - 24 uses.
387. king - 24 uses.
388. beat - 24 uses.
389. paid - 24 uses.
390. sprung - 24 uses.
391. whatever - 24 uses.
392. thinkin - 24 uses.
393. shut - 24 uses.
394. fine - 24 uses.
395. set - 24 uses.
396. minute - 24 uses.
397. yet - 24 uses.
398. wish - 24 uses.
399. ice - 24 uses.
400. ooh-ooh - 24 uses.
401. pole - 24 uses.
402. hole - 23 uses.
403. calling - 23 uses.
404. lost - 23 uses.
405. patron - 23 uses.
406. sure - 23 uses.
407. else - 23 uses.
408. days - 23 uses.
409. second - 23 uses.
410. diamonds - 23 uses.
411. eat - 23 uses.
412. mine - 23 uses.
413. worry - 23 uses.
414. telling - 22 uses.
415. cheek - 22 uses.
416. young - 22 uses.
417. cold - 22 uses.
418. cut - 22 uses.
419. freak - 22 uses.
420. after - 22 uses.
421. act - 22 uses.
422. myself - 22 uses.
423. scared - 22 uses.
424. deserve - 22 uses.
425. room - 22 uses.
426. can’t - 22 uses.
427. fire - 22 uses.
428. cadillac - 22 uses.
429. waiting - 22 uses.
430. daddy - 22 uses.
431. city - 22 uses.
432. screwed - 22 uses.
433. kinda - 22 uses.
434. theres - 22 uses.
435. moving - 21 uses.
436. boss - 21 uses.
437. point - 21 uses.
438. white - 21 uses.
439. lonely - 21 uses.
440. ho - 21 uses.
441. tried - 21 uses.
442. singing - 21 uses.
443. playing - 21 uses.
444. mad - 21 uses.
445. ayy - 21 uses.
446. super - 21 uses.
447. road - 21 uses.
448. dawg - 21 uses.
449. ay - 21 uses.
450. must - 21 uses.
451. sing - 21 uses.
452. motherfucker - 21 uses.
453. grind - 21 uses.
454. light - 21 uses.
455. sleep - 21 uses.
456. g6 - 21 uses.
457. comeback - 21 uses.
458. lady - 20 uses.
459. close - 20 uses.
460. bank - 20 uses.
461. walked - 20 uses.
462. pants - 20 uses.
463. handle - 20 uses.
464. picture - 20 uses.
465. pocket - 20 uses.
466. 10 - 20 uses.
467. reality - 20 uses.
468. let’s - 20 uses.
469. thousand - 20 uses.
470. couldnt - 20 uses.
471. officially - 20 uses.
472. panda - 20 uses.
473. deep - 20 uses.
474. peace - 20 uses.
475. goal - 20 uses.
476. stupid - 19 uses.
477. lie - 19 uses.
478. remember - 19 uses.
479. broke - 19 uses.
480. shorty - 19 uses.
481. unless - 19 uses.
482. slide - 19 uses.
483. wit - 19 uses.
484. throwing - 19 uses.
485. uhh - 19 uses.
486. supposed - 19 uses.
487. today - 19 uses.
488. catch - 19 uses.
489. tired - 19 uses.
490. own - 19 uses.
491. gucci - 19 uses.
492. da - 19 uses.
493. control - 19 uses.
494. 4 - 19 uses.
495. bow - 19 uses.
496. playa - 19 uses.
497. smoke - 18 uses.
498. instead - 18 uses.
499. saying - 18 uses.
500. sip - 18 uses.
501. uh-huh - 18 uses.
502. none - 18 uses.
503. til - 18 uses.
504. pack - 18 uses.
505. nah - 18 uses.
506. dude - 18 uses.
507. guess - 18 uses.
508. pass - 18 uses.
509. boom - 18 uses.
510. being - 18 uses.
511. wouldnt - 18 uses.
512. throwin - 18 uses.
513. duck - 18 uses.
514. once - 18 uses.
515. regular - 18 uses.
516. forget - 18 uses.
517. truck - 18 uses.
518. lose - 18 uses.
519. weve - 18 uses.
520. next - 18 uses.
521. waste - 18 uses.
522. lalala - 18 uses.
523. molly - 17 uses.
524. sauce - 17 uses.
525. brown - 17 uses.
526. full - 17 uses.
527. waitin - 17 uses.
528. perfect - 17 uses.
529. crew - 17 uses.
530. motherfucking - 17 uses.
531. sweet - 17 uses.
532. popping - 17 uses.
533. gold - 17 uses.
534. save - 17 uses.
535. middle - 17 uses.
536. ex - 17 uses.
537. go-go - 17 uses.
538. quit - 16 uses.
539. any - 16 uses.
540. plus - 16 uses.
541. screw - 16 uses.
542. bread - 16 uses.
543. sitting - 16 uses.
544. soon - 16 uses.
545. dough - 16 uses.
546. stomach - 16 uses.
547. funny - 16 uses.
548. far - 16 uses.
549. needed - 16 uses.
550. shoot - 16 uses.
551. dancing - 16 uses.
552. anything - 16 uses.
553. wife - 16 uses.
554. meet - 16 uses.
555. pick - 16 uses.
556. haters - 16 uses.
557. 9 - 16 uses.
558. business - 16 uses.
559. acting - 16 uses.
560. plan - 16 uses.
561. birthday - 16 uses.
562. butt - 16 uses.
563. sign - 16 uses.
564. roof - 16 uses.
565. disa - 16 uses.
566. ting - 16 uses.
567. yeah-yeah-yeah - 16 uses.
568. offset - 16 uses.
569. dun - 16 uses.
570. taking - 15 uses.
571. gun - 15 uses.
572. trap - 15 uses.
573. gave - 15 uses.
574. hating - 15 uses.
575. drive - 15 uses.
576. bartender - 15 uses.
577. ok - 15 uses.
578. bit - 15 uses.
579. wayne - 15 uses.
580. walking - 15 uses.
581. probably - 15 uses.
582. hmm - 15 uses.
583. till - 15 uses.
584. bling - 15 uses.
585. outta - 15 uses.
586. boys - 15 uses.
587. insane - 15 uses.
588. swag - 15 uses.
589. number - 15 uses.
590. trust - 15 uses.
591. week - 15 uses.
592. florida - 15 uses.
593. digital - 15 uses.
594. 6 - 15 uses.
595. deal - 15 uses.
596. lap - 15 uses.
597. fault - 15 uses.
598. brush - 15 uses.
599. ladies - 14 uses.
600. dubs - 14 uses.
601. bar - 14 uses.
602. brand - 14 uses.
603. shot - 14 uses.
604. main - 14 uses.
605. makin - 14 uses.
606. mo - 14 uses.
607. under - 14 uses.
608. somethin - 14 uses.
609. together - 14 uses.
610. job - 14 uses.
611. late - 14 uses.
612. does - 14 uses.
613. putting - 14 uses.
614. tallahassee - 14 uses.
615. holla - 14 uses.
616. monster - 14 uses.
617. learn - 14 uses.
618. neck - 14 uses.
619. camera - 14 uses.
620. rather - 14 uses.
621. chevy - 14 uses.
622. rolling - 14 uses.
623. answer - 14 uses.
624. oclock - 14 uses.
625. everywhere - 14 uses.
626. truth - 14 uses.
627. ur - 14 uses.
628. milli - 14 uses.
629. stuck - 13 uses.
630. speak - 13 uses.
631. keys - 13 uses.
632. bringing - 13 uses.
633. ten - 13 uses.
634. bass - 13 uses.
635. piece - 13 uses.
636. block - 13 uses.
637. problem - 13 uses.
638. fat - 13 uses.
639. whore - 13 uses.
640. ring - 13 uses.
641. four - 13 uses.
642. anymore - 13 uses.
643. called - 13 uses.
644. smoking - 13 uses.
645. screaming - 13 uses.
646. met - 13 uses.
647. kissing - 13 uses.
648. promise - 13 uses.
649. cake - 13 uses.
650. knows - 13 uses.
651. lame - 13 uses.
652. chain - 13 uses.
653. homie - 13 uses.
654. sleeping - 13 uses.
655. kids - 13 uses.
656. chop - 13 uses.
657. win - 13 uses.
658. bother - 13 uses.
659. follow - 13 uses.
660. b - 13 uses.
661. lips - 12 uses.
662. thou - 12 uses.
663. whip - 12 uses.
664. lean - 12 uses.
665. family - 12 uses.
666. inside - 12 uses.
667. fun - 12 uses.
668. somewhere - 12 uses.
669. bought - 12 uses.
670. conversation - 12 uses.
671. bigger - 12 uses.
672. thick - 12 uses.
673. team - 12 uses.
674. zone - 12 uses.
675. hatin - 12 uses.
676. having - 12 uses.
677. joke - 12 uses.
678. t - 12 uses.
679. help - 12 uses.
680. bottle - 12 uses.
681. doors - 12 uses.
682. wave - 12 uses.
683. ahh - 12 uses.
684. excuse - 12 uses.
685. trunk - 12 uses.
686. fast - 12 uses.
687. motherfuckin - 12 uses.
688. takin - 12 uses.
689. pour - 12 uses.
690. living - 12 uses.
691. miss - 12 uses.
692. girlfriend - 12 uses.
693. smokin - 12 uses.
694. games - 12 uses.
695. invisible - 12 uses.
696. pump - 12 uses.
697. chopped - 12 uses.
698. grab - 12 uses.
699. ringleader - 12 uses.
700. mob - 12 uses.
701. lane - 12 uses.
702. dinner - 12 uses.
703. everytime - 12 uses.
704. ago - 12 uses.
705. phantom - 12 uses.
706. makes - 12 uses.
707. shouldve - 12 uses.
708. tonite - 12 uses.
709. exactly - 12 uses.
710. jump - 12 uses.
711. yourself - 12 uses.
712. hope - 12 uses.
713. worth - 12 uses.
714. a-a-a-a-a-a-a - 12 uses.
715. supper - 12 uses.
716. sittin - 12 uses.
717. feet - 12 uses.
718. ‘cause - 12 uses.
719. ba-dum - 12 uses.
720. biddy-da-dum - 12 uses.
721. en - 12 uses.
722. rollah - 12 uses.
723. pom - 12 uses.
724. answers - 12 uses.
725. como - 12 uses.
726. estas - 12 uses.
727. ven - 12 uses.
728. aqui - 12 uses.
729. casa - 12 uses.
730. hashtag - 12 uses.
731. ouu - 12 uses.
732. upset - 12 uses.
733. wobbling - 12 uses.
734. stepping - 12 uses.
735. separated - 12 uses.
736. nuvo - 11 uses.
737. titties - 11 uses.
738. red - 11 uses.
739. nice - 11 uses.
740. brought - 11 uses.
741. building - 11 uses.
742. losing - 11 uses.
743. classic - 11 uses.
744. wow - 11 uses.
745. tight - 11 uses.
746. eye - 11 uses.
747. naw - 11 uses.
748. aww - 11 uses.
749. later - 11 uses.
750. table - 11 uses.
751. watching - 11 uses.
752. leaving - 11 uses.
753. weed - 11 uses.
754. relax - 11 uses.
755. case - 11 uses.
756. grey - 11 uses.
757. town - 11 uses.
758. simple - 11 uses.
759. everyone - 11 uses.
760. smile - 11 uses.
761. clown - 11 uses.
762. leg - 11 uses.
763. further - 11 uses.
764. dark - 11 uses.
765. news - 11 uses.
766. happy - 11 uses.
767. r-i-d - 11 uses.
768. what’s - 11 uses.
769. kick - 11 uses.
770. known - 11 uses.
771. whips - 11 uses.
772. pizzle - 11 uses.
773. cash - 11 uses.
774. type - 11 uses.
775. thatll - 11 uses.
776. benz - 11 uses.
777. date - 11 uses.
778. cousin - 11 uses.
779. school - 11 uses.
780. tomorrow - 11 uses.
781. yeeahh - 11 uses.
782. sorry - 11 uses.
783. twist - 11 uses.
784. naked - 11 uses.
785. motherf**ker - 11 uses.
786. anyway - 11 uses.
787. rocka - 11 uses.
788. blapper - 11 uses.
789. rahh - 11 uses.
790. haitian - 11 uses.
791. dem - 11 uses.
792. rari - 11 uses.
793. admit - 10 uses.
794. fact - 10 uses.
795. kind - 10 uses.
796. fucks - 10 uses.
797. list - 10 uses.
798. runnin - 10 uses.
799. trippin - 10 uses.
800. pat - 10 uses.
801. most - 10 uses.
802. ball - 10 uses.
803. jus - 10 uses.
804. hmm-hmm - 10 uses.
805. clap - 10 uses.
806. i’ll - 10 uses.
807. clique - 10 uses.
808. suck - 10 uses.
809. box - 10 uses.
810. fake - 10 uses.
811. horse - 10 uses.
812. cmon - 10 uses.
813. showin - 10 uses.
814. nasty - 10 uses.
815. blue - 10 uses.
816. bro - 10 uses.
817. soul - 10 uses.
818. sweat - 10 uses.
819. yours - 10 uses.
820. e-r-o-a-d - 10 uses.
821. ridgeroad - 10 uses.
822. outside - 10 uses.
823. wrist - 10 uses.
824. wise - 10 uses.
825. past - 10 uses.
826. suicide - 10 uses.
827. niggaz - 10 uses.
828. felt - 10 uses.
829. dream - 10 uses.
830. rocking - 10 uses.
831. street - 10 uses.
832. vip - 10 uses.
833. knees - 10 uses.
834. jesus - 10 uses.
835. happens - 10 uses.
836. mash - 10 uses.
837. dj - 10 uses.
838. bump - 10 uses.
839. thanks - 10 uses.
840. reverse - 10 uses.
841. bill - 10 uses.
842. asking - 10 uses.
843. howd - 10 uses.
844. trippin’ - 10 uses.
845. 7 - 10 uses.
846. 8 - 10 uses.
847. helicopter - 10 uses.
848. sweater - 10 uses.
849. lala - 10 uses.
850. park - 10 uses.
851. yo’ - 10 uses.
852. cartier - 10 uses.
853. hennessy - 9 uses.
854. style - 9 uses.
855. pulling - 9 uses.
856. clean - 9 uses.
857. weezy - 9 uses.
858. half - 9 uses.
859. text - 9 uses.
860. mansion - 9 uses.
861. fingers - 9 uses.
862. pimp - 9 uses.
863. momma - 9 uses.
864. shits - 9 uses.
865. record - 9 uses.
866. those - 9 uses.
867. t-wayne - 9 uses.
868. ohhh - 9 uses.
869. lord - 9 uses.
870. charge - 9 uses.
871. laugh - 9 uses.
872. treat - 9 uses.
873. reason - 9 uses.
874. wall - 9 uses.
875. store - 9 uses.
876. fix - 9 uses.
877. quick - 9 uses.
878. feelings - 9 uses.
879. matters - 9 uses.
880. woman - 9 uses.
881. baddest - 9 uses.
882. rubber - 9 uses.
883. knock - 9 uses.
884. homegirl - 9 uses.
885. green - 9 uses.
886. less - 9 uses.
887. feed - 9 uses.
888. shell - 9 uses.
889. feels - 9 uses.
890. few - 9 uses.
891. murk - 9 uses.
892. tipsy - 9 uses.
893. son - 9 uses.
894. test - 9 uses.
895. chicken - 9 uses.
896. cars - 9 uses.
897. respect - 9 uses.
898. 8-5-0 - 9 uses.
899. speakers - 9 uses.
900. puttin - 9 uses.
901. wonder - 9 uses.
902. tears - 9 uses.
903. drown - 9 uses.
904. bedroom - 9 uses.
905. double - 9 uses.
906. bullshit - 9 uses.
907. stack - 9 uses.
908. chick - 9 uses.
909. racks - 9 uses.
910. rain - 9 uses.
911. actin - 9 uses.
912. pow - 9 uses.
913. rid - 9 uses.
914. rude - 9 uses.
915. operrrraaaa - 9 uses.
916. dogs - 9 uses.
917. forever - 9 uses.
918. legs - 9 uses.
919. wanted - 9 uses.
920. amazed - 9 uses.
921. mr - 9 uses.
922. messin’ - 9 uses.
923. fist - 9 uses.
924. closer - 9 uses.
925. machine - 9 uses.
926. grill - 9 uses.
927. loud - 9 uses.
928. deeper - 9 uses.
929. shall - 9 uses.
930. position - 9 uses.
931. mess - 8 uses.
932. bathroom - 8 uses.
933. showing - 8 uses.
934. stacks - 8 uses.
935. finally - 8 uses.
936. special - 8 uses.
937. pressure - 8 uses.
938. couch - 8 uses.
939. window - 8 uses.
940. means - 8 uses.
941. learned - 8 uses.
942. appreciate - 8 uses.
943. star - 8 uses.
944. ridin - 8 uses.
945. bands - 8 uses.
946. thighs - 8 uses.
947. belly - 8 uses.
948. ghetto - 8 uses.
949. ohhhh - 8 uses.
950. umm - 8 uses.
951. hiv - 8 uses.
952. future - 8 uses.
953. movie - 8 uses.
954. stroke - 8 uses.
955. bentley - 8 uses.
956. button - 8 uses.
957. great - 8 uses.
958. wrap - 8 uses.
959. strip - 8 uses.
960. raised - 8 uses.
961. hella - 8 uses.
962. drug - 8 uses.
963. dollar - 8 uses.
964. wine - 8 uses.
965. rollin - 8 uses.
966. skirt - 8 uses.
967. guns - 8 uses.
968. hundreds - 8 uses.
969. wind - 8 uses.
970. brazilians - 8 uses.
971. dan - 8 uses.
972. bilzerian - 8 uses.
973. boat - 8 uses.
974. food - 8 uses.
975. balling - 8 uses.
976. easy - 8 uses.
977. behind - 8 uses.
978. dis - 8 uses.
979. ways - 8 uses.
980. tear - 8 uses.
981. rent - 8 uses.
982. ferrari - 8 uses.
983. shades - 8 uses.
984. steal - 8 uses.
985. sang - 8 uses.
986. harder - 8 uses.
987. lick - 8 uses.
988. sippin - 8 uses.
989. cheese - 8 uses.
990. problems - 8 uses.
991. riding - 8 uses.
992. death - 8 uses.
993. bells - 8 uses.
994. earn - 8 uses.
995. themselves - 8 uses.
996. happen - 8 uses.
997. finish - 8 uses.
998. notice - 8 uses.
999. bye - 8 uses.
1000. bam - 8 uses.
1001. class - 8 uses.
1002. hoping - 8 uses.
1003. either - 8 uses.
1004. ones - 8 uses.
1005. stadium - 8 uses.
1006. sprungim - 8 uses.
1007. tick - 8 uses.
1008. very - 8 uses.
1009. stress - 8 uses.
1010. gon’ - 8 uses.
1011. begin - 8 uses.
1012. application - 8 uses.
1013. dudes - 8 uses.
1014. rim - 8 uses.
1015. shouldnt - 8 uses.
1016. drownin - 8 uses.
1017. cee - 8 uses.
1018. slap - 8 uses.
1019. wasp - 8 uses.
1020. outfit - 8 uses.
1021. goldmine - 8 uses.
1022. toast - 8 uses.
1023. wear - 7 uses.
1024. 69 - 7 uses.
1025. years - 7 uses.
1026. magic - 7 uses.
1027. freaky - 7 uses.
1028. fam - 7 uses.
1029. died - 7 uses.
1030. dry - 7 uses.
1031. track - 7 uses.
1032. sudden - 7 uses.
1033. drinks - 7 uses.
1034. ey - 7 uses.
1035. naaaaaw - 7 uses.
1036. balcony - 7 uses.
1037. account - 7 uses.
1038. flo - 7 uses.
1039. seem - 7 uses.
1040. miles - 7 uses.
1041. wheel - 7 uses.
1042. smack - 7 uses.
1043. happening - 7 uses.
1044. welcome - 7 uses.
1045. favorite - 7 uses.
1046. wat - 7 uses.
1047. walkin - 7 uses.
1048. stuntin - 7 uses.
1049. sipping - 7 uses.
1050. kitchen - 7 uses.
1051. hits - 7 uses.
1052. beating - 7 uses.
1053. blunt - 7 uses.
1054. hang - 7 uses.
1055. order - 7 uses.
1056. yellow - 7 uses.
1057. mmmm - 7 uses.
1058. fear - 7 uses.
1059. flex - 7 uses.
1060. hungry - 7 uses.
1061. chevrolet - 7 uses.
1062. spit - 7 uses.
1063. givin - 7 uses.
1064. heres - 7 uses.
1065. almost - 7 uses.
1066. dutty - 7 uses.
1067. fit - 7 uses.
1068. beast - 7 uses.
1069. eatin - 7 uses.
1070. squad - 7 uses.
1071. luck - 7 uses.
1072. motherfuckers - 7 uses.
1073. freakin - 7 uses.
1074. wraith - 7 uses.
1075. hahaha - 7 uses.
1076. 808 - 7 uses.
1077. 12 - 7 uses.
1078. plenty - 7 uses.
1079. church - 7 uses.
1080. voice - 7 uses.
1081. born - 7 uses.
1082. switch - 7 uses.
1083. dope - 7 uses.
1084. mi - 7 uses.
1085. flip - 7 uses.
1086. key - 7 uses.
1087. chillin - 7 uses.
1088. rims - 7 uses.
1089. yeahhhh - 7 uses.
1090. brother - 7 uses.
1091. bite - 7 uses.
1092. heartbeat - 7 uses.
1093. gets - 7 uses.
1094. khaled - 7 uses.
1095. ol - 7 uses.
1096. aka - 7 uses.
1097. miami - 7 uses.
1098. h-heavy - 7 uses.
1099. soft - 7 uses.
1100. honey - 7 uses.
1101. flexing - 7 uses.
1102. corner - 7 uses.
1103. push - 7 uses.
1104. rappa - 7 uses.
1105. locked - 7 uses.
1106. uhem - 7 uses.
1107. stuff - 7 uses.
1108. grown - 7 uses.
1109. sexy - 7 uses.
1110. konvict - 7 uses.
1111. vibin - 7 uses.
1112. lately - 7 uses.
1113. level - 7 uses.
1114. mobbin - 7 uses.
1115. jay - 7 uses.
1116. sin - 7 uses.
1117. upon - 7 uses.
1118. alcoholics - 7 uses.
1119. plane - 7 uses.
1120. champ - 7 uses.
1121. bills - 7 uses.
1122. confused - 7 uses.
1123. aaaahaahhh - 7 uses.
1124. i’ma - 7 uses.
1125. glad - 7 uses.
1126. mother - 7 uses.
1127. solo - 7 uses.
1128. mami - 7 uses.
1129. forth - 7 uses.
1130. listening - 7 uses.
