Most used words by Mika: 
226. seul - 16 uses.
227. nous - 16 uses.
228. fly - 16 uses.
229. yourself - 16 uses.
230. ice - 16 uses.
231. cream - 16 uses.
232. lived - 16 uses.
233. golden - 16 uses.
234. myself - 15 uses.
235. through - 15 uses.
236. wanted - 15 uses.
237. walk - 15 uses.
238. lie - 15 uses.
239. shoulder - 15 uses.
240. cold - 15 uses.
241. gâches - 15 uses.
242. quelle - 15 uses.
243. lollipop - 15 uses.
244. once - 15 uses.
245. sans - 15 uses.
246. room - 15 uses.
247. relax - 15 uses.
248. father - 15 uses.
249. pieces - 15 uses.
250. kiss - 15 uses.
251. feeling - 15 uses.
252. trying - 15 uses.
253. billy - 15 uses.
254. lady - 14 uses.
255. kids - 14 uses.
256. door - 14 uses.
257. jour - 14 uses.
258. faire - 14 uses.
259. any - 14 uses.
260. stand - 14 uses.
261. johnny - 14 uses.
262. right - 14 uses.
263. floor - 14 uses.
264. boys - 14 uses.
265. everybodys - 14 uses.
266. anyway - 14 uses.
267. please - 14 uses.
268. isnt - 14 uses.
269. sunshine - 14 uses.
270. paloma - 14 uses.
271. whatever - 14 uses.
272. ring - 14 uses.
273. foot - 14 uses.
274. open - 13 uses.
275. change - 13 uses.
276. those - 13 uses.
277. turn - 13 uses.
278. drunk - 13 uses.
279. gutter - 13 uses.
280. without - 13 uses.
281. dis - 13 uses.
282. dear - 13 uses.
283. momma - 13 uses.
284. very - 13 uses.
285. read - 13 uses.
286. comes - 13 uses.
287. wait - 13 uses.
288. believe - 13 uses.
289. fire - 13 uses.
290. upon - 13 uses.
291. chanté - 13 uses.
292. gives - 13 uses.
293. young - 13 uses.
294. holiday - 13 uses.
295. after - 12 uses.
296. hope - 12 uses.
297. behind - 12 uses.
298. die - 12 uses.
299. gold - 12 uses.
300. neige - 12 uses.
301. quil - 12 uses.
302. danse - 12 uses.
303. told - 12 uses.
304. everyday - 12 uses.
305. nimporte - 12 uses.
306. sucking - 12 uses.
307. own - 12 uses.
308. supposed - 12 uses.
309. screaming - 12 uses.
310. pain - 12 uses.
311. satellite - 12 uses.
312. shock - 12 uses.
313. veut - 12 uses.
314. anybody - 12 uses.
315. rains - 12 uses.
316. e - 12 uses.
317. lola - 12 uses.
318. name - 12 uses.
319. oh-oh-oh - 12 uses.
320. gettin - 12 uses.
321. wherever - 12 uses.
322. con - 11 uses.
323. years - 11 uses.
324. hand - 11 uses.
325. losing - 11 uses.
326. problem - 11 uses.
327. dhiver - 11 uses.
328. air - 11 uses.
329. forever - 11 uses.
330. together - 11 uses.
331. trop - 11 uses.
332. car - 11 uses.
333. truth - 11 uses.
334. kind - 11 uses.
335. inside - 11 uses.
336. sitting - 11 uses.
337. waiting - 11 uses.
338. son - 11 uses.
339. funny - 11 uses.
340. scared - 11 uses.
341. ma - 11 uses.
342. erase - 11 uses.
343. dancing - 11 uses.
344. cool - 11 uses.
345. louder - 11 uses.
346. origin - 11 uses.
347. touches - 11 uses.
348. voulu - 11 uses.
349. yo - 10 uses.
350. lost - 10 uses.
351. fighting - 10 uses.
352. harder - 10 uses.
353. chance - 10 uses.
354. sense - 10 uses.
355. anymore - 10 uses.
356. seem - 10 uses.
357. va - 10 uses.
358. même - 10 uses.
359. living - 10 uses.
360. une - 10 uses.
361. ton - 10 uses.
362. tes - 10 uses.
363. bien - 10 uses.
364. porcelain - 10 uses.
365. pretty - 10 uses.
366. 82 - 10 uses.
367. free - 10 uses.
368. doom - 10 uses.
369. blues - 10 uses.
370. laughing - 10 uses.
371. under - 10 uses.
372. baisers - 10 uses.
373. strong - 10 uses.
374. playing - 10 uses.
375. stuck - 10 uses.
376. goodbye - 10 uses.
377. must - 10 uses.
378. wife - 10 uses.
379. thousand - 10 uses.
380. mon - 10 uses.
381. sanremo - 10 uses.
382. clown - 10 uses.
383. allez - 10 uses.
384. debout - 10 uses.
385. è - 10 uses.
386. worth - 10 uses.
387. shit - 10 uses.
388. touching - 10 uses.
389. cautionary - 10 uses.
390. dr - 10 uses.
391. john - 10 uses.
392. making - 9 uses.
393. paris - 9 uses.
394. anything - 9 uses.
395. jane - 9 uses.
396. yes - 9 uses.
397. feet - 9 uses.
398. catch - 9 uses.
399. blind - 9 uses.
400. falling - 9 uses.
401. already - 9 uses.
402. dreams - 9 uses.
403. où - 9 uses.
404. fais - 9 uses.
405. te - 9 uses.
406. là - 9 uses.
407. toujours - 9 uses.
408. standing - 9 uses.
409. gets - 9 uses.
410. calling - 9 uses.
411. friend - 9 uses.
412. needs - 9 uses.
413. fun - 9 uses.
414. kid - 9 uses.
415. before - 9 uses.
416. since - 9 uses.
417. break - 9 uses.
418. close - 9 uses.
419. miss - 9 uses.
420. nothings - 9 uses.
421. hot - 9 uses.
422. somewhere - 9 uses.
423. days - 9 uses.
424. low - 9 uses.
425. ooh - 9 uses.
426. gotta - 9 uses.
427. ohhhh - 9 uses.
428. hit - 8 uses.
429. soy - 8 uses.
430. ti - 8 uses.
431. lose - 8 uses.
432. best - 8 uses.
433. far - 8 uses.
434. glory - 8 uses.
435. last - 8 uses.
436. does - 8 uses.
437. ‘cause - 8 uses.
438. seen - 8 uses.
439. sen - 8 uses.
440. story - 8 uses.
441. tant - 8 uses.
442. suis - 8 uses.
443. music - 8 uses.
444. single - 8 uses.
445. three - 8 uses.
446. different - 8 uses.
447. dreaming - 8 uses.
448. follow - 8 uses.
449. ses - 8 uses.
450. libre - 8 uses.
451. sleeping - 8 uses.
452. town - 8 uses.
453. pocket - 8 uses.
454. smile - 8 uses.
455. hands - 8 uses.
456. start - 8 uses.
457. lock - 8 uses.
458. help - 8 uses.
459. begging - 8 uses.
460. stardust - 8 uses.
461. besoin - 8 uses.
462. wondering - 8 uses.
463. mess - 8 uses.
464. easier - 8 uses.
465. sunset - 8 uses.
466. late - 8 uses.
467. teenage - 8 uses.
468. belong - 8 uses.
469. black - 8 uses.
470. che - 8 uses.
471. fancy - 8 uses.
472. awful - 8 uses.
473. shut - 8 uses.
474. higher - 8 uses.
475. places - 8 uses.
476. momentary - 8 uses.
477. reactionary - 8 uses.
478. times - 7 uses.
479. hiding - 7 uses.
480. friends - 7 uses.
481. okay - 7 uses.
482. hell - 7 uses.
483. rio - 7 uses.
484. eat - 7 uses.
485. water - 7 uses.
486. along - 7 uses.
487. distant - 7 uses.
488. understand - 7 uses.
489. theyre - 7 uses.
490. theyll - 7 uses.
491. wish - 7 uses.
492. dead - 7 uses.
493. fight - 7 uses.
494. leaving - 7 uses.
495. such - 7 uses.
496. tired - 7 uses.
497. lips - 7 uses.
498. gay - 7 uses.
499. avec - 7 uses.
500. chanson - 7 uses.
501. peu - 7 uses.
502. y - 7 uses.
503. oui - 7 uses.
504. ground - 7 uses.
505. bed - 7 uses.
506. holy - 7 uses.
507. walls - 7 uses.
508. quon - 7 uses.
509. bistrot - 7 uses.
510. fou - 7 uses.
511. goddamn - 7 uses.
512. whoever - 7 uses.
513. wonder - 7 uses.
514. sees - 7 uses.
515. bust - 7 uses.
516. between - 7 uses.
517. jsuis - 7 uses.
518. dire - 7 uses.
519. bitter - 7 uses.
520. makes - 7 uses.
521. perfect - 7 uses.
522. less - 7 uses.
523. strangers - 7 uses.
524. beat - 7 uses.
525. personne - 7 uses.
526. quick - 7 uses.
527. chi - 7 uses.
528. butterfly - 7 uses.
529. crown - 7 uses.
530. bringing - 7 uses.
531. cosa - 7 uses.
532. couldnt - 6 uses.
533. tears - 6 uses.
534. learn - 6 uses.
535. morning - 6 uses.
536. done - 6 uses.
537. spent - 6 uses.
538. state - 6 uses.
539. conversation - 6 uses.
540. guy - 6 uses.
541. weather - 6 uses.
542. gave - 6 uses.
543. worlds - 6 uses.
544. couple - 6 uses.
545. dry - 6 uses.
546. bright - 6 uses.
547. chemin - 6 uses.
548. nuit - 6 uses.
549. fête - 6 uses.
550. wasted - 6 uses.
551. went - 6 uses.
552. quest-ce - 6 uses.
553. fous - 6 uses.
554. used - 6 uses.
555. sick - 6 uses.
556. waa-oh - 6 uses.
557. eye - 6 uses.
558. prayed - 6 uses.
559. na - 6 uses.
560. deux - 6 uses.
561. ces - 6 uses.
562. line - 6 uses.
563. school - 6 uses.
564. storm - 6 uses.
565. above - 6 uses.
566. hours - 6 uses.
567. laugh - 6 uses.
568. throws - 6 uses.
569. forget - 6 uses.
570. dêtre - 6 uses.
571. yet - 6 uses.
572. heard - 6 uses.
573. mine - 6 uses.
574. lune - 6 uses.
575. songs - 6 uses.
576. dirt - 6 uses.
577. learned - 6 uses.
578. middle - 6 uses.
579. family - 6 uses.
580. nos - 6 uses.
581. tous - 6 uses.
582. taime - 6 uses.
583. voir - 6 uses.
584. money - 6 uses.
585. woman - 6 uses.
586. ok - 6 uses.
587. burning - 6 uses.
588. share - 6 uses.
589. shine - 6 uses.
590. soir - 6 uses.
591. danser - 6 uses.
592. yellow - 6 uses.
593. lying - 6 uses.
594. sad - 6 uses.
595. damn - 6 uses.
596. emotion - 6 uses.
597. jusquà - 6 uses.
598. amour - 6 uses.
599. 2 - 6 uses.
600. steps - 6 uses.
601. pull - 6 uses.
602. per - 6 uses.
603. ci - 6 uses.
604. resist - 6 uses.
605. diamonds - 6 uses.
606. phone - 6 uses.
607. born - 6 uses.
608. cover - 6 uses.
609. act - 6 uses.
610. worry - 6 uses.
611. crept - 6 uses.
612. body - 5 uses.
613. al - 5 uses.
614. ten - 5 uses.
615. burn - 5 uses.
616. twice - 5 uses.
617. lucky - 5 uses.
618. new - 5 uses.
619. cut - 5 uses.
620. though - 5 uses.
621. land - 5 uses.
622. lovers - 5 uses.
623. stare - 5 uses.
624. elses - 5 uses.
625. war - 5 uses.
626. bleed - 5 uses.
627. wouldnt - 5 uses.
628. first - 5 uses.
629. sleeve - 5 uses.
630. vieux - 5 uses.
631. aux - 5 uses.
632. pretending - 5 uses.
633. ending - 5 uses.
634. until - 5 uses.
635. clever - 5 uses.
636. walking - 5 uses.
637. monde - 5 uses.
638. ou - 5 uses.
639. ans - 5 uses.
640. jaime - 5 uses.
641. encore - 5 uses.
642. déjà - 5 uses.
643. bring - 5 uses.
644. drive - 5 uses.
645. common - 5 uses.
646. move - 5 uses.
647. green - 5 uses.
648. took - 5 uses.
649. next - 5 uses.
650. sing - 5 uses.
651. small - 5 uses.
652. across - 5 uses.
653. speak - 5 uses.
654. prays - 5 uses.
655. star - 5 uses.
656. couche - 5 uses.
657. notre - 5 uses.
658. tongue - 5 uses.
659. balloon - 5 uses.
660. senses - 5 uses.
661. begun - 5 uses.
662. hide - 5 uses.
663. thunder - 5 uses.
664. devant - 5 uses.
665. watch - 5 uses.
666. vrai - 5 uses.
667. gueule - 5 uses.
668. quoique - 5 uses.
669. paye - 5 uses.
670. nobody - 5 uses.
671. darkest - 5 uses.
672. sorrow - 5 uses.
673. drown - 5 uses.
674. bite - 5 uses.
675. dun - 5 uses.
676. livin - 5 uses.
677. ugly - 5 uses.
678. against - 5 uses.
679. wind - 5 uses.
680. jumping - 5 uses.
681. game - 5 uses.
682. lot - 5 uses.
683. wire - 5 uses.
684. talking - 5 uses.
685. del - 5 uses.
686. lo - 5 uses.
687. cette - 5 uses.
688. bonheur - 5 uses.
689. tried - 5 uses.
690. mes - 5 uses.
691. caught - 5 uses.
692. da-da-da-da - 5 uses.
693. mai - 5 uses.
694. putting - 5 uses.
695. singing - 5 uses.
696. em - 5 uses.
697. saying - 5 uses.
698. happened - 5 uses.
699. giants - 5 uses.
700. promise - 5 uses.
701. bout - 5 uses.
702. deus - 5 uses.
703. brother - 5 uses.
704. sister - 5 uses.
705. lamore - 5 uses.
706. gioco - 5 uses.
707. california - 5 uses.
708. dancin - 5 uses.
709. lounge - 5 uses.
710. fantasize - 5 uses.
711. braces - 5 uses.
712. watering - 5 uses.
713. hole - 5 uses.
714. curves - 5 uses.
715. fix - 4 uses.
716. es - 4 uses.
717. sin - 4 uses.
718. fin - 4 uses.
719. broke - 4 uses.
720. holes - 4 uses.
721. pockets - 4 uses.
722. taking - 4 uses.
723. invitation - 4 uses.
724. good-bye - 4 uses.
725. roll - 4 uses.
726. dice - 4 uses.
727. special - 4 uses.
728. fish - 4 uses.
729. deep - 4 uses.
730. most - 4 uses.
731. falls - 4 uses.
732. dream - 4 uses.
733. amazing - 4 uses.
734. drink - 4 uses.
735. space - 4 uses.
736. cowboys - 4 uses.
737. missing - 4 uses.
738. 94 - 4 uses.
739. offended - 4 uses.
740. sa - 4 uses.
741. lui - 4 uses.
742. joyeux - 4 uses.
743. center - 4 uses.
744. gravity - 4 uses.
745. spins - 4 uses.
746. city - 4 uses.
747. searching - 4 uses.
748. cque - 4 uses.
749. dirait - 4 uses.
750. autres - 4 uses.
751. truc - 4 uses.
752. lies - 4 uses.
753. soul - 4 uses.
754. breath - 4 uses.
755. paper - 4 uses.
756. problems - 4 uses.
757. cruel - 4 uses.
758. also - 4 uses.
759. peculiar - 4 uses.
760. priest - 4 uses.
761. started - 4 uses.
762. rien - 4 uses.
763. bar - 4 uses.
764. bouge - 4 uses.
765. sera - 4 uses.
766. chansons - 4 uses.
767. throw - 4 uses.
768. touch - 4 uses.
769. full - 4 uses.
770. ticket - 4 uses.
771. moon - 4 uses.
772. spring - 4 uses.
773. chasing - 4 uses.
774. king - 4 uses.
775. five - 4 uses.
776. 95 - 4 uses.
777. 22 - 4 uses.
778. carry - 4 uses.
779. til - 4 uses.
780. papas - 4 uses.
781. nook - 4 uses.
782. children - 4 uses.
783. afraid - 4 uses.
784. dark - 4 uses.
785. apart - 4 uses.
786. kick - 4 uses.
787. mal - 4 uses.
788. ptite - 4 uses.
789. coupe - 4 uses.
790. lumière - 4 uses.
791. train - 4 uses.
792. terrified - 4 uses.
793. eu - 4 uses.
794. anywhere - 4 uses.
795. lives - 4 uses.
796. io - 4 uses.
797. rushing - 4 uses.
798. joy - 4 uses.
799. tomber - 4 uses.
800. bourgeois - 4 uses.
801. 16ème - 4 uses.
802. demandent - 4 uses.
803. zoom - 4 uses.
804. font - 4 uses.
805. looks - 4 uses.
806. child - 4 uses.
807. wing - 4 uses.
808. hair - 4 uses.
809. guards - 4 uses.
810. solitary - 4 uses.
811. spark - 4 uses.
812. wars - 4 uses.
813. begin - 4 uses.
814. afar - 4 uses.
815. burns - 4 uses.
816. window - 4 uses.
817. arms - 4 uses.
818. raise - 4 uses.
819. everywhere - 4 uses.
820. ah - 4 uses.
821. depuis - 4 uses.
822. melting - 4 uses.
823. skin - 4 uses.
824. seaside - 4 uses.
825. drinking - 4 uses.
826. flowers - 4 uses.
827. movie - 4 uses.
828. sacharne - 4 uses.
829. compliqué - 4 uses.
830. circus - 4 uses.
831. purpose - 4 uses.
832. finally - 4 uses.
833. lots - 4 uses.
834. stone - 4 uses.
835. 1 - 4 uses.
836. closer - 4 uses.
837. 3 - 4 uses.
838. viens - 4 uses.
839. coûte - 4 uses.
840. sons - 4 uses.
841. corn - 4 uses.
842. una - 4 uses.
843. grace - 4 uses.
844. ooh-ah - 4 uses.
845. model - 4 uses.
846. scholar - 4 uses.
847. front - 4 uses.
848. row - 4 uses.
849. jokes - 4 uses.
850. push - 4 uses.
851. spin - 4 uses.
852. dizzy - 4 uses.
853. save - 4 uses.
854. point - 4 uses.
855. french - 4 uses.
856. faces - 4 uses.
857. hundred - 4 uses.
858. poker - 4 uses.
859. po-po-po-poker - 4 uses.
860. po-poker - 4 uses.
861. swear - 4 uses.
862. lust - 4 uses.
863. interpretation - 4 uses.
864. remember - 4 uses.
865. letters - 4 uses.
866. drug - 4 uses.
867. guilty - 4 uses.
868. pray - 4 uses.
869. laa - 4 uses.
870. peace - 4 uses.
871. bet - 4 uses.
872. played - 4 uses.
873. sympathy - 4 uses.
874. kept - 4 uses.
875. cui - 4 uses.
876. vinci - 4 uses.
877. hug - 4 uses.
878. illusion - 4 uses.
879. nasty - 4 uses.
880. diet - 4 uses.
881. coke - 4 uses.
882. whyd - 4 uses.
883. undervalued - 4 uses.
884. bolt - 4 uses.
885. whatchu - 4 uses.
886. sort - 4 uses.
887. whens - 4 uses.
888. replace - 4 uses.
889. las - 3 uses.
890. fine - 3 uses.
891. spell - 3 uses.
892. thinking - 3 uses.
893. book - 3 uses.
894. alter - 3 uses.
895. ego - 3 uses.
896. berlin - 3 uses.
897. sure - 3 uses.
898. pair - 3 uses.
899. walked - 3 uses.
900. heres - 3 uses.
901. shouldnt - 3 uses.
902. become - 3 uses.
903. plate - 3 uses.
904. swimming - 3 uses.
905. stories - 3 uses.
906. return - 3 uses.
907. heroes - 3 uses.
908. arent - 3 uses.
909. grow - 3 uses.
910. torture - 3 uses.
911. sight - 3 uses.
912. bursting - 3 uses.
913. red - 3 uses.
914. disappear - 3 uses.
915. romance - 3 uses.
916. dressed - 3 uses.
917. bold - 3 uses.
918. james - 3 uses.
919. blanc - 3 uses.
920. sifflant - 3 uses.
921. soufflant - 3 uses.
922. grands - 3 uses.
923. sapins - 3 uses.
924. verts - 3 uses.
925. boule - 3 uses.
926. lan - 3 uses.
927. chantent - 3 uses.
928. vers - 3 uses.
929. ciel - 3 uses.
930. enfants - 3 uses.
931. feu - 3 uses.
932. chaque - 3 uses.
933. stumble - 3 uses.
934. happen - 3 uses.
935. hardest - 3 uses.
936. sleep - 3 uses.
937. finding - 3 uses.
938. secoue-toi - 3 uses.
939. problème - 3 uses.
940. veux - 3 uses.
941. pis - 3 uses.
942. comprendras - 3 uses.
943. voudras - 3 uses.
944. nul - 3 uses.
945. sors - 3 uses.
946. bulle - 3 uses.
947. taimes - 3 uses.
948. jamais - 3 uses.
949. grand - 3 uses.
950. leur - 3 uses.
951. fingertips - 3 uses.
952. seems - 3 uses.
953. amen - 3 uses.
954. person - 3 uses.
955. rough - 3 uses.
956. seeing - 3 uses.
957. bore - 3 uses.
958. candy - 3 uses.
959. unbreakable - 3 uses.
960. crumble - 3 uses.
961. risking - 3 uses.
962. dreamt - 3 uses.
963. mate - 3 uses.
964. least - 3 uses.
965. whore - 3 uses.
966. 24 - 3 uses.
967. ghost - 3 uses.
968. hid - 3 uses.
969. religion - 3 uses.
970. mise - 3 uses.
971. mieux - 3 uses.
972. connards - 3 uses.
973. fera - 3 uses.
974. envieux - 3 uses.
975. trinque - 3 uses.
976. rêves - 3 uses.
977. chez - 3 uses.
978. juste - 3 uses.
979. magic - 3 uses.
980. tragic - 3 uses.
981. asking - 3 uses.
982. wild - 3 uses.
983. winters - 3 uses.
984. erases - 3 uses.
985. calm - 3 uses.
986. replacing - 3 uses.
987. walks - 3 uses.
988. empty - 3 uses.
989. tight - 3 uses.
990. dollar - 3 uses.
991. rolling - 3 uses.
992. covers - 3 uses.
993. picture - 3 uses.
994. simply - 3 uses.
995. sperdent - 3 uses.
996. wall - 3 uses.
997. yours - 3 uses.
998. luné - 3 uses.
999. ni - 3 uses.
1000. dying - 3 uses.
1001. voilà - 3 uses.
1002. terre - 3 uses.
1003. sommet - 3 uses.
1004. wine - 3 uses.
1005. future - 3 uses.
1006. writing - 3 uses.
1007. ooooo - 3 uses.
1008. men - 3 uses.
1009. felt - 3 uses.
1010. tear - 3 uses.
1011. changes - 3 uses.
1012. flame - 3 uses.
1013. deceive - 3 uses.
1014. ours - 3 uses.
1015. plan - 3 uses.
1016. both - 3 uses.
1017. hurts - 3 uses.
1018. bon - 3 uses.
1019. hitting - 3 uses.
1020. youd - 3 uses.
1021. dove - 3 uses.
1022. taken - 3 uses.
1023. dress - 3 uses.
1024. spinning - 3 uses.
1025. messing - 3 uses.
1026. others - 3 uses.
1027. unsaid - 3 uses.
1028. happening - 3 uses.
1029. wrap - 3 uses.
1030. twist - 3 uses.
1031. ends - 3 uses.
1032. bois - 3 uses.
1033. lit - 3 uses.
1034. quun - 3 uses.
1035. faim - 3 uses.
1036. mains - 3 uses.
1037. turning - 3 uses.
1038. keeps - 3 uses.
1039. smell - 3 uses.
1040. sweet - 3 uses.
1041. whatcha - 3 uses.
1042. filling - 3 uses.
1043. mériter - 3 uses.
1044. jaimais - 3 uses.
1045. ca - 3 uses.
1046. bow - 3 uses.
1047. giving - 3 uses.
1048. none - 3 uses.
1049. loin - 3 uses.
1050. trap - 3 uses.
1051. 4 - 3 uses.
1052. married - 3 uses.
1053. 5 - 3 uses.
1054. top - 3 uses.
1055. cherry - 3 uses.
1056. 6 - 3 uses.
1057. loving - 3 uses.
1058. avoid - 3 uses.
1059. silver - 3 uses.
1060. vois - 3 uses.
1061. tombes - 3 uses.
1062. genoux - 3 uses.
1063. rend - 3 uses.
1064. lalalalala - 3 uses.
1065. pleasure - 3 uses.
1066. sour - 3 uses.
1067. weve - 3 uses.
1068. stopping - 3 uses.
1069. lights - 3 uses.
1070. turned - 3 uses.
1071. rule - 3 uses.
1072. toy - 3 uses.
1073. acting - 3 uses.
1074. joke - 3 uses.
1075. attention - 3 uses.
1076. crowd - 3 uses.
1077. freedom - 3 uses.
1078. perché - 3 uses.
1079. ora - 3 uses.
1080. ciò - 3 uses.
1081. vita - 3 uses.
1082. hour - 3 uses.
1083. real - 3 uses.
1084. ones - 3 uses.
1085. impossible - 3 uses.
1086. sets - 3 uses.
1087. orchestra - 3 uses.
1088. playin - 3 uses.
1089. near - 3 uses.
1090. finger - 3 uses.
1091. mad - 3 uses.
1092. met - 3 uses.
1093. pill - 3 uses.
1094. machismo - 3 uses.
1095. tough - 3 uses.
1096. till - 3 uses.
1097. almost - 3 uses.
1098. shoot - 3 uses.
1099. craziness - 3 uses.
1100. cup - 3 uses.
1101. shake - 3 uses.
1102. violet - 3 uses.
1103. hurtful - 3 uses.
1104. purple - 3 uses.
1105. helpless - 3 uses.
1106. misery - 3 uses.
1107. promiseland - 3 uses.
1108. occupy - 3 uses.
1109. throne - 3 uses.
1110. dimmi - 3 uses.
1111. vuoi - 3 uses.
1112. spiegare - 3 uses.
1113. baciami - 3 uses.
1114. ohhh - 3 uses.
1115. succederà - 3 uses.
1116. vai - 3 uses.
1117. allinferno - 3 uses.
1118. sento - 3 uses.
1119. brividi - 3 uses.
1120. frega - 3 uses.
1121. stanotte - 3 uses.
1122. casa - 3 uses.
1123. tornerai - 3 uses.
1124. sangue - 3 uses.
1125. rosso - 3 uses.
1126. anche - 3 uses.
1127. pensaci - 3 uses.
1128. trait - 3 uses.
1129. strange - 3 uses.
1130. message - 3 uses.
1131. backseat - 3 uses.
1132. vintage - 3 uses.
1133. benz - 3 uses.
1134. lhorizon - 3 uses.
1135. assassin - 3 uses.
1136. sil - 3 uses.
1137. ny - 3 uses.
