Most used words by Wilco: 
523. wake - 6 uses.
524. wherever - 6 uses.
525. street - 6 uses.
526. feet - 6 uses.
527. strangers - 6 uses.
528. next - 6 uses.
529. hadnt - 6 uses.
530. king - 6 uses.
531. anyone - 6 uses.
532. outside - 6 uses.
533. holding - 6 uses.
534. band - 6 uses.
535. monday - 6 uses.
536. sometime - 6 uses.
537. evening - 6 uses.
538. lucky - 6 uses.
539. climb - 6 uses.
540. moment - 6 uses.
541. dreamer - 6 uses.
542. shining - 6 uses.
543. car - 6 uses.
544. wrapped - 6 uses.
545. easy - 6 uses.
546. fooling - 6 uses.
547. first - 6 uses.
548. kisses - 6 uses.
549. poems - 6 uses.
550. stone - 6 uses.
551. seaman - 6 uses.
552. stairs - 6 uses.
553. leaving - 6 uses.
554. book - 6 uses.
555. power - 6 uses.
556. pink - 6 uses.
557. winter - 6 uses.
558. domain - 6 uses.
559. worried - 6 uses.
560. feelings - 6 uses.
561. floating - 6 uses.
562. dance - 6 uses.
563. saw - 6 uses.
564. rich - 6 uses.
565. major - 6 uses.
566. dude - 6 uses.
567. hide - 6 uses.
568. field - 6 uses.
569. lines - 6 uses.
570. generator - 6 uses.
571. already - 6 uses.
572. distance - 6 uses.
573. understandable - 6 uses.
574. speakers - 6 uses.
575. later - 6 uses.
576. hesitating - 6 uses.
577. moments - 6 uses.
578. crushing - 6 uses.
579. holy - 6 uses.
580. shit - 6 uses.
581. matters - 6 uses.
582. hides - 6 uses.
583. blue-eyed - 6 uses.
584. thems - 6 uses.
585. meet - 5 uses.
586. crazy - 5 uses.
587. tryin - 5 uses.
588. brain - 5 uses.
589. ask - 5 uses.
590. shoot - 5 uses.
591. follow - 5 uses.
592. misunderstood - 5 uses.
593. guitar - 5 uses.
594. fortune - 5 uses.
595. rooms - 5 uses.
596. doors - 5 uses.
597. horse - 5 uses.
598. job - 5 uses.
599. private - 5 uses.
600. wait - 5 uses.
601. star - 5 uses.
602. rise - 5 uses.
603. wars - 5 uses.
604. none - 5 uses.
605. jesus - 5 uses.
606. comes - 5 uses.
607. younger - 5 uses.
608. women - 5 uses.
609. wishes - 5 uses.
610. burning - 5 uses.
611. kept - 5 uses.
612. stood - 5 uses.
613. calm - 5 uses.
614. great - 5 uses.
615. nice - 5 uses.
616. common - 5 uses.
617. starts - 5 uses.
618. bitter - 5 uses.
619. melodies - 5 uses.
620. whine - 5 uses.
621. quite - 5 uses.
622. gray - 5 uses.
623. maid - 5 uses.
624. count - 5 uses.
625. bug - 5 uses.
626. tune - 5 uses.
627. trust - 5 uses.
628. yet - 5 uses.
629. bird - 5 uses.
630. others - 5 uses.
631. pulled - 5 uses.
632. driving - 5 uses.
633. drugs - 5 uses.
634. downtown - 5 uses.
635. though - 5 uses.
636. ya - 5 uses.
637. everybodys - 5 uses.
638. build - 5 uses.
639. point - 5 uses.
640. eislers - 5 uses.
641. daddy - 5 uses.
642. cloud - 5 uses.
643. cries - 5 uses.
644. having - 5 uses.
645. joke - 5 uses.
646. believed - 5 uses.
647. news - 5 uses.
648. until - 5 uses.
649. dreamed - 5 uses.
650. road - 5 uses.
651. bet - 5 uses.
652. skin - 5 uses.
653. heaven - 5 uses.
654. ran - 5 uses.
655. passed - 5 uses.
656. blown - 5 uses.
657. hopes - 5 uses.
658. camera - 5 uses.
659. hello - 5 uses.
660. cars - 5 uses.
661. building - 5 uses.
662. recall - 5 uses.
663. verse - 5 uses.
664. grateful - 5 uses.
665. bleed - 5 uses.
666. cracked - 5 uses.
667. crawling - 5 uses.
668. ears - 5 uses.
669. ago - 5 uses.
670. pillow - 5 uses.
671. ocean - 5 uses.
672. age - 5 uses.
673. dust - 5 uses.
674. however - 5 uses.
675. quiet - 5 uses.
676. fading - 5 uses.
677. attack - 5 uses.
678. fold - 5 uses.
679. capitol - 5 uses.
680. phones - 5 uses.
681. country - 5 uses.
682. locator - 5 uses.
683. winding - 5 uses.
684. hummingbird - 5 uses.
685. strange - 5 uses.
686. ourselves - 5 uses.
687. shiny - 5 uses.
688. satellite - 5 uses.
689. wall - 5 uses.
690. tape - 5 uses.
691. window - 5 uses.
692. surely - 5 uses.
693. ten - 5 uses.
694. cheer - 5 uses.
695. magnetized - 5 uses.
696. beautiful - 5 uses.
697. regardless - 5 uses.
698. thanks - 5 uses.
699. lives - 5 uses.
700. knot - 5 uses.
701. bit - 5 uses.
702. saucer - 5 uses.
703. oh-whoa-whoa - 5 uses.
704. dawned - 5 uses.
705. wishful - 5 uses.
706. hoodoo - 5 uses.
707. voodoo - 5 uses.
708. interest - 5 uses.
709. airline - 5 uses.
710. plane - 5 uses.
711. needed - 4 uses.
712. lying - 4 uses.
713. everythings - 4 uses.
714. pekin - 4 uses.
715. tap - 4 uses.
716. throw - 4 uses.
717. waves - 4 uses.
718. young - 4 uses.
719. wed - 4 uses.
720. beneath - 4 uses.
721. werent - 4 uses.
722. tellin - 4 uses.
723. staring - 4 uses.
724. satisfied - 4 uses.
725. years - 4 uses.
726. crawl - 4 uses.
727. thank - 4 uses.
728. brush - 4 uses.
729. clothes - 4 uses.
730. trains - 4 uses.
731. boys - 4 uses.
732. looked - 4 uses.
733. very - 4 uses.
734. sunday - 4 uses.
735. deal - 4 uses.
736. paid - 4 uses.
737. cannot - 4 uses.
738. bee - 4 uses.
739. whistle - 4 uses.
740. lights - 4 uses.
741. nervous - 4 uses.
742. knees - 4 uses.
743. reason - 4 uses.
744. most - 4 uses.
745. serious - 4 uses.
746. mother - 4 uses.
747. happiness - 4 uses.
748. depends - 4 uses.
749. roses - 4 uses.
750. finger - 4 uses.
751. everytime - 4 uses.
752. lotta - 4 uses.
753. ear - 4 uses.
754. harmony - 4 uses.
755. setting - 4 uses.
756. buildings - 4 uses.
757. strung - 4 uses.
758. cheeks - 4 uses.
759. skyscrapers - 4 uses.
760. voice - 4 uses.
761. oh-whoa - 4 uses.
762. probably - 4 uses.
763. bringing - 4 uses.
764. wooden - 4 uses.
765. lips - 4 uses.
766. fact - 4 uses.
767. weve - 4 uses.
768. kissed - 4 uses.
769. swinging - 4 uses.
770. stetson - 4 uses.
771. kennedy - 4 uses.
772. writing - 4 uses.
773. fix - 4 uses.
774. story - 4 uses.
775. tb - 4 uses.
776. track - 4 uses.
777. dogs - 4 uses.
778. watching - 4 uses.
779. tv - 4 uses.
780. turpentine - 4 uses.
781. five - 4 uses.
782. send - 4 uses.
783. sisters - 4 uses.
784. handshake - 4 uses.
785. bought - 4 uses.
786. fit - 4 uses.
787. early - 4 uses.
788. grow - 4 uses.
789. become - 4 uses.
790. cried - 4 uses.
791. moving - 4 uses.
792. lonesome - 4 uses.
793. lover - 4 uses.
794. stormy - 4 uses.
795. record - 4 uses.
796. players - 4 uses.
797. tour - 4 uses.
798. van - 4 uses.
799. fla - 4 uses.
800. fooled - 4 uses.
801. blister - 4 uses.
802. house - 4 uses.
803. seven - 4 uses.
804. eight - 4 uses.
805. boat - 4 uses.
806. fingers - 4 uses.
807. supper - 4 uses.
808. kitchen - 4 uses.
809. stuck - 4 uses.
810. flight - 4 uses.
811. worry - 4 uses.
812. captain - 4 uses.
813. less - 4 uses.
814. beams - 4 uses.
815. keys - 4 uses.
816. weeds - 4 uses.
817. seeds - 4 uses.
818. nod - 4 uses.
819. babies - 4 uses.
820. beat - 4 uses.
821. knife - 4 uses.
822. loneliness - 4 uses.
823. drag - 4 uses.
824. frightened - 4 uses.
825. between - 4 uses.
826. knee - 4 uses.
827. counting - 4 uses.
828. shore - 4 uses.
829. rug - 4 uses.
830. lap - 4 uses.
831. moved - 4 uses.
832. chin - 4 uses.
833. sat - 4 uses.
834. via - 4 uses.
835. chicago - 4 uses.
836. havent - 4 uses.
837. finding - 4 uses.
838. confusing - 4 uses.
839. till - 4 uses.
840. silence - 4 uses.
841. hid - 4 uses.
842. drive - 4 uses.
843. faces - 4 uses.
844. ashamed - 4 uses.
845. site - 4 uses.
846. lawn - 4 uses.
847. token - 4 uses.
848. dynamite - 4 uses.
849. sleeping - 4 uses.
850. noticed - 4 uses.
851. instead - 4 uses.
852. married - 4 uses.
853. hundred - 4 uses.
854. mans - 4 uses.
855. bess - 4 uses.
856. unwelcome - 4 uses.
857. lightning - 4 uses.
858. gambling - 4 uses.
859. theyll - 4 uses.
860. vine - 4 uses.
861. mighty - 4 uses.
862. fore - 4 uses.
863. greatest - 4 uses.
864. dreaming - 4 uses.
865. undone - 4 uses.
866. breaks - 4 uses.
867. demon - 4 uses.
868. difference - 4 uses.
869. thin - 4 uses.
870. clear - 4 uses.
871. shade - 4 uses.
872. flame - 4 uses.
873. low-pay - 4 uses.
874. high-price - 4 uses.
875. veins - 4 uses.
876. bloodier - 4 uses.
877. rolling - 4 uses.
878. kinds - 4 uses.
879. colors - 4 uses.
880. million - 4 uses.
881. carried - 4 uses.
882. weed - 4 uses.
883. miracle - 4 uses.
884. therell - 4 uses.
885. drummer - 4 uses.
886. covers - 4 uses.
887. stoned - 4 uses.
888. blooming - 4 uses.
889. kings - 4 uses.
890. sense - 4 uses.
891. waste - 4 uses.
892. bomb - 4 uses.
893. ending - 4 uses.
894. willing - 4 uses.
895. queen - 4 uses.
896. telling - 4 uses.
897. feed - 4 uses.
898. stinking - 4 uses.
899. swine - 4 uses.
900. rot - 4 uses.
901. glisten - 4 uses.
902. tells - 4 uses.
903. magic - 4 uses.
904. pray - 4 uses.
905. pure - 4 uses.
906. soft - 4 uses.
907. neither - 4 uses.
908. stranger - 4 uses.
909. candyfloss - 4 uses.
910. outthink - 4 uses.
911. lifes - 4 uses.
912. boiling - 4 uses.
913. recognize - 4 uses.
914. either - 4 uses.
915. spotless - 4 uses.
916. choo - 4 uses.
917. excused - 4 uses.
918. party - 3 uses.
919. takin - 3 uses.
920. banks - 3 uses.
921. return - 3 uses.
922. thoughts - 3 uses.
923. taste - 3 uses.
924. short - 3 uses.
925. ought - 3 uses.
926. turns - 3 uses.
927. lead - 3 uses.
928. wife - 3 uses.
929. mess - 3 uses.
930. gum - 3 uses.
931. spit - 3 uses.
932. walls - 3 uses.
933. starve - 3 uses.
934. goal - 3 uses.
935. steal - 3 uses.
936. longer - 3 uses.
937. called - 3 uses.
938. girly - 3 uses.
939. west - 3 uses.
940. east - 3 uses.
941. blows - 3 uses.
942. stung - 3 uses.
943. lots - 3 uses.
944. ways - 3 uses.
945. saying - 3 uses.
946. carry - 3 uses.
947. gives - 3 uses.
948. begs - 3 uses.
949. nose - 3 uses.
950. tomorrow - 3 uses.
951. filling - 3 uses.
952. touching - 3 uses.
953. troubles - 3 uses.
954. jump - 3 uses.
955. lovers - 3 uses.
956. friendly - 3 uses.
957. wine - 3 uses.
958. asleep - 3 uses.
959. daughters - 3 uses.
960. gave - 3 uses.
961. although - 3 uses.
962. week - 3 uses.
963. lake - 3 uses.
964. grave - 3 uses.
965. sit - 3 uses.
966. sister - 3 uses.
967. spirit - 3 uses.
968. tall - 3 uses.
969. tuned - 3 uses.
970. smoking - 3 uses.
971. anyhow - 3 uses.
972. ceiling - 3 uses.
973. fan - 3 uses.
974. pretend - 3 uses.
975. ice - 3 uses.
976. somewhere - 3 uses.
977. warning - 3 uses.
978. engines - 3 uses.
979. chickens - 3 uses.
980. breathe - 3 uses.
981. surprised - 3 uses.
982. letter - 3 uses.
983. president - 3 uses.
984. save - 3 uses.
985. walking - 3 uses.
986. worlds - 3 uses.
987. equal - 3 uses.
988. salty - 3 uses.
989. pay - 3 uses.
990. talks - 3 uses.
991. tough - 3 uses.
992. whipping - 3 uses.
993. doctor - 3 uses.
994. brother - 3 uses.
995. lungs - 3 uses.
996. turned - 3 uses.
997. drink - 3 uses.
998. fits - 3 uses.
999. insane - 3 uses.
1000. dollar - 3 uses.
1001. does - 3 uses.
1002. guns - 3 uses.
1003. ramble - 3 uses.
1004. letters - 3 uses.
1005. brothers - 3 uses.
1006. blinds - 3 uses.
1007. dew - 3 uses.
1008. fun - 3 uses.
1009. frozen - 3 uses.
1010. ship - 3 uses.
1011. charlie - 3 uses.
1012. charlies - 3 uses.
1013. fixin - 3 uses.
1014. covered - 3 uses.
1015. dime - 3 uses.
1016. six - 3 uses.
1017. nine - 3 uses.
1018. least - 3 uses.
1019. bush - 3 uses.
1020. music - 3 uses.
1021. explode - 3 uses.
1022. typewriter - 3 uses.
1023. shadow - 3 uses.
1024. bank - 3 uses.
1025. autumn - 3 uses.
1026. travelers - 3 uses.
1027. guide - 3 uses.
1028. hits - 3 uses.
1029. dies - 3 uses.
1030. feels - 3 uses.
1031. stare - 3 uses.
1032. ends - 3 uses.
1033. tie - 3 uses.
1034. separate - 3 uses.
1035. hit - 3 uses.
1036. angry - 3 uses.
1037. shoe - 3 uses.
1038. darkest - 3 uses.
1039. problem - 3 uses.
1040. singer - 3 uses.
1041. brand - 3 uses.
1042. park - 3 uses.
1043. slowly - 3 uses.
1044. wins - 3 uses.
1045. picking - 3 uses.
1046. spoke - 3 uses.
1047. emotion - 3 uses.
1048. weak - 3 uses.
1049. meant - 3 uses.
1050. everyday - 3 uses.
1051. answers - 3 uses.
1052. smoke - 3 uses.
1053. painted - 3 uses.
1054. pushed - 3 uses.
1055. labels - 3 uses.
1056. happy - 3 uses.
1057. tracks - 3 uses.
1058. reminding - 3 uses.
1059. gravel - 3 uses.
1060. palm - 3 uses.
1061. driven - 3 uses.
1062. michigan - 3 uses.
1063. valley - 3 uses.
1064. mention - 3 uses.
1065. takes - 3 uses.
1066. solo - 3 uses.
1067. flash - 3 uses.
1068. rhythm - 3 uses.
1069. yellow - 3 uses.
1070. explain - 3 uses.
1071. raining - 3 uses.
1072. dry - 3 uses.
1073. sink - 3 uses.
1074. shoulders - 3 uses.
1075. searching - 3 uses.
1076. chrome - 3 uses.
1077. burned - 3 uses.
1078. hungry - 3 uses.
1079. missed - 3 uses.
1080. step - 3 uses.
1081. walkin - 3 uses.
1082. happened - 3 uses.
1083. stories - 3 uses.
1084. forgive - 3 uses.
1085. fists - 3 uses.
1086. deeper - 3 uses.
1087. further - 3 uses.
1088. memories - 3 uses.
1089. mystery - 3 uses.
1090. lid - 3 uses.
1091. pop - 3 uses.
1092. fuse - 3 uses.
1093. front - 3 uses.
1094. warned - 3 uses.
1095. spread - 3 uses.
1096. easiest - 3 uses.
1097. mast - 3 uses.
1098. check - 3 uses.
1099. skyline - 3 uses.
1100. photo - 3 uses.
1101. suns - 3 uses.
1102. dog - 3 uses.
1103. subway - 3 uses.
1104. breathing - 3 uses.
1105. backyard - 3 uses.
1106. wants - 3 uses.
1107. echo - 3 uses.
1108. sunset - 3 uses.
1109. slept - 3 uses.
1110. bag - 3 uses.
1111. aiming - 3 uses.
1112. marching - 3 uses.
1113. rather - 3 uses.
1114. person - 3 uses.
1115. safety - 3 uses.
1116. pony - 3 uses.
1117. guest - 3 uses.
1118. garden - 3 uses.
1119. hated - 3 uses.
1120. anywhere - 3 uses.
1121. blind - 3 uses.
1122. played - 3 uses.
1123. blinking - 3 uses.
1124. smiling - 3 uses.
1125. brown - 3 uses.
1126. books - 3 uses.
1127. paint - 3 uses.
1128. generation - 3 uses.
1129. jaws - 3 uses.
1130. fangs - 3 uses.
1131. bow - 3 uses.
1132. places - 3 uses.
1133. cottons - 3 uses.
1134. buzzard - 3 uses.
1135. bull - 3 uses.
1136. freak - 3 uses.
1137. marry - 3 uses.
1138. growing - 3 uses.
1139. test - 3 uses.
1140. rejoice - 3 uses.
